Altitude_km,Diameter_m,Delta_h_km,ShellVol_km3,Human_made,Total,N_human_bin,N_total_bin
312.5,0.01045,25.0,14033250700.71544,1.456e-09,1.456e-09,20.432413020241682,20.432413020241682
337.5,0.01045,25.0,14138431222.757627,1.577e-09,1.577e-09,22.29630603828878,22.29630603828878
362.5,0.01045,25.0,14244004443.881514,1.961e-09,1.961e-09,27.93249271445165,27.93249271445165
387.5,0.01045,25.0,14349970364.087097,1.984e-09,1.984e-09,28.470341202348802,28.470341202348802
412.5,0.01045,25.0,14456328983.374378,3.163e-09,3.163e-09,45.72536857441316,45.72536857441316
437.5,0.01045,25.0,14563080301.74336,3.247e-09,3.247e-09,47.286321739760695,47.286321739760695
462.5,0.01045,25.0,14670224319.19404,4.243e-09,4.243e-09,62.24576178634032,62.24576178634032
487.5,0.01045,25.0,14777761035.726418,5.185e-09,5.185e-09,76.62269097024148,76.62269097024148
512.5,0.01045,25.0,14885690451.340496,6.718e-09,6.718e-09,100.00206845210546,100.00206845210546
537.5,0.01045,25.0,14994012566.036272,8.683e-09,8.683e-09,130.19301111089297,130.19301111089297
562.5,0.01045,25.0,15102727379.813747,7.358e-09,7.358e-09,111.12586806066955,111.12586806066955
587.5,0.01045,25.0,15211834892.67292,8.394e-09,8.394e-09,127.6881420890965,127.6881420890965
612.5,0.01045,25.0,15321335104.613792,1.003e-08,1.003e-08,153.67299109927632,153.67299109927632
637.5,0.01045,25.0,15431228015.636364,1.328e-08,1.328e-08,204.92670804765092,204.92670804765092
662.5,0.01045,25.0,15541513625.740633,1.545e-08,1.545e-08,240.11638551769278,240.11638551769278
687.5,0.01045,25.0,15652191934.926601,1.97e-08,1.97e-08,308.3481811180541,308.3481811180541
712.5,0.01045,25.0,15763262943.19427,2.31e-08,2.31e-08,364.1313739877876,364.1313739877876
737.5,0.01045,25.0,15874726650.543634,2.492e-08,2.492e-08,395.5981881315474,395.5981881315474
762.5,0.01045,25.0,15986583056.974699,3.031e-08,3.031e-08,484.5533324569031,484.5533324569031
787.5,0.01045,25.0,16098832162.487463,3.626e-08,3.626e-08,583.7436542117954,583.7436542117954
812.5,0.01045,25.0,16211473967.081924,3.862e-08,3.862e-08,626.0871246087039,626.0871246087039
837.5,0.01045,25.0,16324508470.758085,3.677e-08,3.677e-08,600.2521764697748,600.2521764697748
862.5,0.01045,25.0,16437935673.515945,3.099e-08,3.099e-08,509.41162652225916,509.41162652225916
887.5,0.01045,25.0,16551755575.355503,3.013e-08,3.013e-08,498.7043954854613,498.7043954854613
912.5,0.01045,25.0,16665968176.27676,2.542e-08,2.542e-08,423.6489110409552,423.6489110409552
937.5,0.01045,25.0,16780573476.279715,2.248e-08,2.248e-08,377.227291746768,377.227291746768
962.5,0.01045,25.0,16895571475.36437,2.096e-08,2.096e-08,354.1311781236372,354.1311781236372
987.5,0.01045,25.0,17010962173.530724,1.995e-08,1.995e-08,339.3686953619379,339.3686953619379
1012.5,0.01045,25.0,17126745570.778774,1.837e-08,1.837e-08,314.61831613520604,314.61831613520604
1037.5,0.01045,25.0,17242921667.108524,1.738e-08,1.738e-08,299.68197857434615,299.68197857434615
1062.5,0.01045,25.0,17359490462.519974,1.721e-08,1.721e-08,298.7568308599688,298.7568308599688
1087.5,0.01045,25.0,17476451957.013123,1.689e-08,1.689e-08,295.17727355395164,295.17727355395164
1112.5,0.01045,25.0,17593806150.58797,1.417e-08,1.417e-08,249.30423315383155,249.30423315383155
1137.5,0.01045,25.0,17711553043.244514,1.247e-08,1.247e-08,220.8630664492591,220.8630664492591
1162.5,0.01045,25.0,17829692634.982758,1.013e-08,1.013e-08,180.61478639237535,180.61478639237535
1187.5,0.01045,25.0,17948224925.8027,9.448e-09,9.448e-09,169.5748290989839,169.5748290989839
312.5,0.01135,25.0,14033250700.71544,1.456e-09,1.456e-09,20.432413020241682,20.432413020241682
337.5,0.01135,25.0,14138431222.757627,1.577e-09,1.577e-09,22.29630603828878,22.29630603828878
362.5,0.01135,25.0,14244004443.881514,1.961e-09,1.961e-09,27.93249271445165,27.93249271445165
387.5,0.01135,25.0,14349970364.087097,1.984e-09,1.984e-09,28.470341202348802,28.470341202348802
412.5,0.01135,25.0,14456328983.374378,3.163e-09,3.163e-09,45.72536857441316,45.72536857441316
437.5,0.01135,25.0,14563080301.74336,3.247e-09,3.247e-09,47.286321739760695,47.286321739760695
462.5,0.01135,25.0,14670224319.19404,4.243e-09,4.243e-09,62.24576178634032,62.24576178634032
487.5,0.01135,25.0,14777761035.726418,5.185e-09,5.185e-09,76.62269097024148,76.62269097024148
512.5,0.01135,25.0,14885690451.340496,6.718e-09,6.718e-09,100.00206845210546,100.00206845210546
537.5,0.01135,25.0,14994012566.036272,8.683e-09,8.683e-09,130.19301111089297,130.19301111089297
562.5,0.01135,25.0,15102727379.813747,7.358e-09,7.358e-09,111.12586806066955,111.12586806066955
587.5,0.01135,25.0,15211834892.67292,8.394e-09,8.394e-09,127.6881420890965,127.6881420890965
612.5,0.01135,25.0,15321335104.613792,1.003e-08,1.003e-08,153.67299109927632,153.67299109927632
637.5,0.01135,25.0,15431228015.636364,1.328e-08,1.328e-08,204.92670804765092,204.92670804765092
662.5,0.01135,25.0,15541513625.740633,1.545e-08,1.545e-08,240.11638551769278,240.11638551769278
687.5,0.01135,25.0,15652191934.926601,1.97e-08,1.97e-08,308.3481811180541,308.3481811180541
712.5,0.01135,25.0,15763262943.19427,2.31e-08,2.31e-08,364.1313739877876,364.1313739877876
737.5,0.01135,25.0,15874726650.543634,2.492e-08,2.492e-08,395.5981881315474,395.5981881315474
762.5,0.01135,25.0,15986583056.974699,3.031e-08,3.031e-08,484.5533324569031,484.5533324569031
787.5,0.01135,25.0,16098832162.487463,3.626e-08,3.626e-08,583.7436542117954,583.7436542117954
812.5,0.01135,25.0,16211473967.081924,3.862e-08,3.862e-08,626.0871246087039,626.0871246087039
837.5,0.01135,25.0,16324508470.758085,3.677e-08,3.677e-08,600.2521764697748,600.2521764697748
862.5,0.01135,25.0,16437935673.515945,3.099e-08,3.099e-08,509.41162652225916,509.41162652225916
887.5,0.01135,25.0,16551755575.355503,3.013e-08,3.013e-08,498.7043954854613,498.7043954854613
912.5,0.01135,25.0,16665968176.27676,2.542e-08,2.542e-08,423.6489110409552,423.6489110409552
937.5,0.01135,25.0,16780573476.279715,2.248e-08,2.248e-08,377.227291746768,377.227291746768
962.5,0.01135,25.0,16895571475.36437,2.096e-08,2.096e-08,354.1311781236372,354.1311781236372
987.5,0.01135,25.0,17010962173.530724,1.995e-08,1.995e-08,339.3686953619379,339.3686953619379
1012.5,0.01135,25.0,17126745570.778774,1.837e-08,1.837e-08,314.61831613520604,314.61831613520604
1037.5,0.01135,25.0,17242921667.108524,1.738e-08,1.738e-08,299.68197857434615,299.68197857434615
1062.5,0.01135,25.0,17359490462.519974,1.721e-08,1.721e-08,298.7568308599688,298.7568308599688
1087.5,0.01135,25.0,17476451957.013123,1.689e-08,1.689e-08,295.17727355395164,295.17727355395164
1112.5,0.01135,25.0,17593806150.58797,1.417e-08,1.417e-08,249.30423315383155,249.30423315383155
1137.5,0.01135,25.0,17711553043.244514,1.247e-08,1.247e-08,220.8630664492591,220.8630664492591
1162.5,0.01135,25.0,17829692634.982758,1.013e-08,1.013e-08,180.61478639237535,180.61478639237535
1187.5,0.01135,25.0,17948224925.8027,9.448e-09,9.448e-09,169.5748290989839,169.5748290989839
312.5,0.01225,25.0,14033250700.71544,1.456e-09,1.456e-09,20.432413020241682,20.432413020241682
337.5,0.01225,25.0,14138431222.757627,1.577e-09,1.577e-09,22.29630603828878,22.29630603828878
362.5,0.01225,25.0,14244004443.881514,1.961e-09,1.961e-09,27.93249271445165,27.93249271445165
387.5,0.01225,25.0,14349970364.087097,1.984e-09,1.984e-09,28.470341202348802,28.470341202348802
412.5,0.01225,25.0,14456328983.374378,3.163e-09,3.163e-09,45.72536857441316,45.72536857441316
437.5,0.01225,25.0,14563080301.74336,3.247e-09,3.247e-09,47.286321739760695,47.286321739760695
462.5,0.01225,25.0,14670224319.19404,4.243e-09,4.243e-09,62.24576178634032,62.24576178634032
487.5,0.01225,25.0,14777761035.726418,5.185e-09,5.185e-09,76.62269097024148,76.62269097024148
512.5,0.01225,25.0,14885690451.340496,6.718e-09,6.718e-09,100.00206845210546,100.00206845210546
537.5,0.01225,25.0,14994012566.036272,8.683e-09,8.683e-09,130.19301111089297,130.19301111089297
562.5,0.01225,25.0,15102727379.813747,7.358e-09,7.358e-09,111.12586806066955,111.12586806066955
587.5,0.01225,25.0,15211834892.67292,8.394e-09,8.394e-09,127.6881420890965,127.6881420890965
612.5,0.01225,25.0,15321335104.613792,1.003e-08,1.003e-08,153.67299109927632,153.67299109927632
637.5,0.01225,25.0,15431228015.636364,1.328e-08,1.328e-08,204.92670804765092,204.92670804765092
662.5,0.01225,25.0,15541513625.740633,1.545e-08,1.545e-08,240.11638551769278,240.11638551769278
687.5,0.01225,25.0,15652191934.926601,1.97e-08,1.97e-08,308.3481811180541,308.3481811180541
712.5,0.01225,25.0,15763262943.19427,2.31e-08,2.31e-08,364.1313739877876,364.1313739877876
737.5,0.01225,25.0,15874726650.543634,2.492e-08,2.492e-08,395.5981881315474,395.5981881315474
762.5,0.01225,25.0,15986583056.974699,3.031e-08,3.031e-08,484.5533324569031,484.5533324569031
787.5,0.01225,25.0,16098832162.487463,3.626e-08,3.626e-08,583.7436542117954,583.7436542117954
812.5,0.01225,25.0,16211473967.081924,3.862e-08,3.862e-08,626.0871246087039,626.0871246087039
837.5,0.01225,25.0,16324508470.758085,3.677e-08,3.677e-08,600.2521764697748,600.2521764697748
862.5,0.01225,25.0,16437935673.515945,3.099e-08,3.099e-08,509.41162652225916,509.41162652225916
887.5,0.01225,25.0,16551755575.355503,3.013e-08,3.013e-08,498.7043954854613,498.7043954854613
912.5,0.01225,25.0,16665968176.27676,2.542e-08,2.542e-08,423.6489110409552,423.6489110409552
937.5,0.01225,25.0,16780573476.279715,2.248e-08,2.248e-08,377.227291746768,377.227291746768
962.5,0.01225,25.0,16895571475.36437,2.096e-08,2.096e-08,354.1311781236372,354.1311781236372
987.5,0.01225,25.0,17010962173.530724,1.995e-08,1.995e-08,339.3686953619379,339.3686953619379
1012.5,0.01225,25.0,17126745570.778774,1.837e-08,1.837e-08,314.61831613520604,314.61831613520604
1037.5,0.01225,25.0,17242921667.108524,1.738e-08,1.738e-08,299.68197857434615,299.68197857434615
1062.5,0.01225,25.0,17359490462.519974,1.721e-08,1.721e-08,298.7568308599688,298.7568308599688
1087.5,0.01225,25.0,17476451957.013123,1.689e-08,1.689e-08,295.17727355395164,295.17727355395164
1112.5,0.01225,25.0,17593806150.58797,1.417e-08,1.417e-08,249.30423315383155,249.30423315383155
